pl_name,hostname,sy_snum,sy_pnum,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_insol,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,st_age,sy_dist,sy_vmag,sy_jmag,st_lum_linear,snr_proxy,distance_penalty,transit_depth_norm,obs_duration_norm,detectability,spectral_class,star_O,star_B,star_A,star_F,star_G,star_K,star_M,star_Unknown,priority_score,_hz_factor_diag,_esi_diag,_rocky_diag
K2-90 b,K2-90,1,2,2016.0,Transit,2.6,7.27,2.27,13.733314,0.096,0.07,89.24,502.0,0.1582,2.952,2457078.66112,10.2,4484.0,0.619,0.629,-0.95318,-0.225,4.653,3.98,134.188,13.707,11.168,0.11138327928492958,0.09269678157528155,0.261353861167217,0.0027925860547170474,0.05507462686556889,0.08684428741706478,K,0,0,0,0,0,1,0,0,0.0,0.0,0.6854116728123354,0.1
K2-90 c,K2-90,1,2,2016.0,Transit,1.3,2.24,5.6,2.900706,0.035,0.19,86.94,830.5966823357309,0.0389,1.3032,2457066.74,80.8,4421.98,0.634754,0.704613,-0.95318,-0.225,4.653,3.98,134.188,13.707,11.168,0.11138327928492958,0.015144506884574901,0.261353861167217,0.0006866725507490085,0.02431343283577553,0.07983083891454003,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8318015456741373,1.0
K2-91 b,K2-91,1,1,2016.0,Transit,1.1,1.37,5.66,1.419549,0.0164,0.09,88.62,664.7990789245805,0.1565,0.945,2457065.4319,46.0,3622.0,0.284,0.292,-1.84126,0.0205,5.0,3.98,62.5785,15.622,11.433,0.014412522556455615,0.040647163661386716,0.534841413175194,0.0027625772285917696,0.017630597014892477,0.1644601173155071,M,0,0,0,0,0,0,1,0,0.0,0.0,0.8768984095458916,1.0
K2-95 b,K2-95,1,1,2016.0,Transit,3.31,11.0,1.67,10.1346454,0.0525,0.16,90.0,474.0,0.5276,2.856,2457140.7422121,98.461,3566.0,0.4,0.41,-1.63451,0.1,4.85,0.79,179.854,17.236,13.312,0.02320010764732581,0.04220694208444402,0.1655404008597152,0.009313327449233338,0.05328358208945282,0.05511255131632255,M,0,0,0,0,0,0,1,0,0.0,0.0,0.6160719868870044,0.1
K2-97 b,K2-97,1,1,2016.0,Transit,13.45077684,174.48779544,0.392,8.407115,0.0854,0.207,75.5,1566.0,0.0891,6.2712,2457722.1447,114.149,4673.0,4.14,1.17,0.86688,0.328,3.276,7.5,878.43,12.486,10.694,7.360037040573062,0.11774786188091511,0.00015311825907525148,0.0015728155339778062,0.11699999999978171,0.010369556425829093,K,0,0,0,0,0,1,0,0,0.0,0.0,0.25441410817987753,0.1
K2-98 b,K2-98,1,1,2016.0,Transit,5.06645928,34.00763955,1.4,10.1367349,0.0986,0.119,88.39,1185.0,0.093,5.1216,2457662.95321,339.0,6260.0,1.518,1.246,0.50379,-0.044,4.169,3.4,518.625,12.216,11.124,3.189994982780613,0.07474562487517603,0.005592941067667523,0.0016416593115593263,0.09555223880579188,0.008359903080311142,F,0,0,0,1,0,0,0,0,0.0,0.0,0.4712482516231153,0.1
K2-99 b,K2-99,1,2,2016.0,Transit,11.88151954,276.51071409,0.9,18.24783,0.153,0.22,88.6,1184.0,0.193,11.1,2458182.7133,357.0,6069.0,2.55,1.44,0.89927,0.2,3.783,3.7,519.229,11.149,10.024,7.929941801388453,0.6289538767883033,0.005559261518248313,0.0034068843777521505,0.2070895522384196,0.055812849972526016,F,0,0,0,1,0,0,0,0,0.0,0.0,0.3584009007222824,0.1
K2-99 c,K2-99,1,2,2022.0,Radial Velocity,12.6,2669.7586188,7.33,522.2,1.43,0.21,88.74,390.0,,33.6,2458104.2,98.461,6069.0,2.55,1.44,0.89927,0.2,3.783,3.7,519.229,11.149,10.024,7.929941801388453,0.0,0.005559261518248313,0.0,0.6268656716406215,0.001667778455474494,F,0,0,0,1,0,0,0,0,0.0,0.0,0.6334393783319082,0.1
KELT-1 b,KELT-1,1,1,2012.0,Transit,12.442,8654.15,24.7,1.217514,0.02466,0.0099,87.8,2361.0,0.6086,2.76456,2455914.1628,5165.92,6516.0,1.471,1.335,0.545,0.052,4.228,3.98,268.43,10.632,9.682,3.5075187395256804,1.3562662603890174,0.06826896555020874,0.010743159752849528,0.05157761194020227,0.13791759294051886,F,0,0,0,1,0,0,0,0,0.0,0.0,0.3404653257523766,0.1
KELT-10 b,KELT-10,1,1,2016.0,Transit,15.681391,215.80657,0.308,4.1662739,0.0525,0.0,88.61,1377.0,1.416,3.744,2457066.72045,600.0,5948.0,1.209,1.112,0.21748,0.09,4.319,4.5,188.404,10.617,9.693,1.6499850149526085,3.6352239702033313,0.15197488531170694,0.024995586937290384,0.0698507462685264,0.35960073527185016,G,0,0,0,0,1,0,0,0,0.0,0.0,0.23412884655267627,0.1
