,pl_name,hostname,pl_rade,pl_eqt,pl_orbsmax,st_teff,spectral_class,detectability,priority_score,pred_priority,uncertainty,scientific_gain,pred_str
2228,Kepler-613 b,Kepler-613,2.29,713.0,0.1232,5723.0,G,0.0006193123522894,0.6306599526181198,0.6271536855337095,0.011029448725193017,6.830673834454612e-06,0.627 +/- 0.011
2229,Kepler-587 b,Kepler-587,2.23,764.0,0.0952,5549.0,G,0.000535330733577,0.6317651141092733,0.6271192164475557,0.015772305118418834,8.443399669243427e-06,0.627 +/- 0.016
2230,Kepler-163 c,Kepler-163,2.26,648.0,0.152,5776.0,G,0.0010742853500834,0.633158045592472,0.6269671741437541,0.029853623099657077,3.2071309942872974e-05,0.627 +/- 0.030
2231,Kepler-1802 c,Kepler-1802,2.322,357.0,0.1748,4245.0,K,0.0012667080382351,0.5962246954809107,0.6267499761967797,0.045469148317360736,5.759613566530482e-05,0.627 +/- 0.045
2232,Kepler-1109 b,Kepler-1109,2.19,787.0,0.2466,5893.0,G,0.0010073961037395,0.6281318614092912,0.626742195774238,0.019466815139902862,1.9610793724155256e-05,0.627 +/- 0.019
2233,Kepler-989 b,Kepler-989,2.21,805.0,0.0734,5074.0,K,0.0029593414789352,0.6346156392354692,0.6265711663063719,0.0228406105328328,6.759316615401633e-05,0.627 +/- 0.023
2234,Kepler-651 b,Kepler-651,2.37,574.0,0.14078,5522.0,G,0.0030099773915319,0.6343814129681213,0.6264917581614016,0.022326705474321754,6.720287870509999e-05,0.626 +/- 0.022
2235,Kepler-926 b,Kepler-926,2.31,524.0,0.2739,5806.0,G,0.0006567587822037,0.6456402495566944,0.62640037110932,0.03262945376083135,2.142968031593554e-05,0.626 +/- 0.033
2236,Kepler-306 d,Kepler-306,2.47,535.0,0.12,4954.0,K,0.0007563318395421,0.6136366812171639,0.6261993031628986,0.03993223246634358,3.0202018838292407e-05,0.626 +/- 0.040
2237,Kepler-1160 b,Kepler-1160,2.14,839.0,0.0755,5519.0,G,0.0002818021223217,0.6327567082451022,0.6261771549361776,0.02101083281923587,5.920897280207096e-06,0.626 +/- 0.021
2238,Kepler-986 b,Kepler-986,2.36,465.0,0.29131,5642.0,G,0.0024837732029895,0.6466873173929184,0.6261167830316686,0.05062297877948781,0.00012573599814799793,0.626 +/- 0.051
2239,HD 180617 b,HD 180617,3.53,184.58514218451316,0.343,3534.0,M,0.2827820825388594,0.9817830595849432,0.625978664933919,0.1449830177764119,0.04099859969958223,0.626 +/- 0.145
2240,WASP-77 A b,WASP-77 A,13.56,1674.0,0.023233633,5617.0,G,0.611666050959503,0.675533982867584,0.6259737338557059,0.08350784355990029,0.051078912894428175,0.626 +/- 0.084
